


,,,,,,,,,
0,SET,Loop,5,Ñ­»·5´Î,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,rnd,sb,5,,,,,,
0,jmpe,25,$sb,1,,,,,
0,jmpe,37,$sb,2,,,,,
0,jmpe,65,$sb,3,,,,,
0,jmpe,75,$sb,4,,,,,
¹¥»÷1,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,sansx,220,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,241,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,139,306,139,306,0,0.6,0.26666
0,GasterBlaster,1,499,306,499,306,180,0.6,0.26666
0,GasterBlaster,1,449,176,449,176,135,0.6,0.26666
0,GasterBlaster,1,189,176,189,176,45,0.6,0.26666
1,jmpabs,85,,,,,,,
¹¥»÷2,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,241,246,404,391,,,,
0,HeartTeleport,320,381,,,,,,
0,HeartMode,1,,,,,,,
0,BoneV,239,226,160,0,200,1,,
0,BoneV,404,226,160,2,200,1,,
0,BoneV,156.5,356,30,0,200,,,
0,BoneV,486.5,356,30,2,200,,,
1,jmpabs,85,,,,,,,
¹¥»÷3,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,219,226,424,391,,,,
0,HeartTeleport,320,381,,,,,,
0,HeartMode,1,,,,,,,
0.3,Bonev,221,226,62.5,0,200,,,
0,Bonev,426,226,62.5,2,200,,,
0,Bonev,221,328.5,62.5,0,200,,,
0,Bonev,426,328.5,62.5,2,200,,,
0,Bonev,206,226,52.5,0,200,.....,,
0,Bonev,441,226,52.5,2,200,,,
0,Bonev,206,338.5,52.5,0,200,,,
0,Bonev,441,338.5,52.5,2,200,,,
0,Bonev,191,226,42.5,0,200,.....,,
0,Bonev,456,226,42.5,2,200,,,
0,Bonev,191,348.5,42.5,0,200,,,
0,Bonev,456,348.5,42.5,2,200,,,
0,Bonev,176,226,32.5,0,200,.....,,
0,Bonev,471,226,32.5,2,200,,,
0,Bonev,176,358.5,32.5,0,200,,,
0,Bonev,471,358.5,32.5,2,200,,,
0,Bonev,161,226,22.5,0,200,.....,,
0,Bonev,486,226,22.5,2,200,,,
0,Bonev,161,368.5,22.5,0,200,,,
0,Bonev,486,368.5,22.5,2,200,,,
1.5,jmpabs,85,,,,,,,
¹¥»÷4,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,241,226,404,391,,,,
0,HeartTeleport,256,381,,,,,,
0,HeartMode,1,,,,,,,
0,BoneVRepeat,406,226,115,2,300,6,10,
0,BoneVRepeat,406,361,30,2,300,6,10,
1,jmpabs,85,,,,,,,
¹¥»÷5,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,241,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansSlam,0,,,,,,,
0,GasterBlaster,1,404,166,404,166,90,0.4,0.26666
1,jmpabs,85,,,,,,,

0,JMPNZ,6,$Loop,,,,,,
0,EndAttack,,,,,,,,
