0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.4,BoneVRepeat,133,356,40,0,200,41,15,
0,PlatformRepeat,0,341,40,0,200,32,120,
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
0,BoneStab,1,35,0,99999,,,,
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1
1,GetHeartPos,x,y,,,,,,
0,GasterBlaster,0,$x,0,$x,100,90,0.4,0.1

1,EndAttack,,,,,,,,
